# pattern	okipona	truth	rationale	hotwords
t4r/dtp-fit	tan	氏	2 Relationship to existing doctoral training -> tan/氏: Most doctoral programmes teach disciplinary technique but rarely teach how disciplines learn from one another. talk4real combines ethnography, computer science, and design so scholars can treat conversation, computation, and intervention as one method. The Supplement pilot treats conversation as data and prototype as publication, keeping every scholar inside a continuous REPL loop. The programme operates as a portable connective tissue for other DTPs, enabling cross-cohort self-correction without extra training burden.	2, relationship, existing, doctoral, training, t4r, dtp, fit, most, programmes
t4r/exec-summary-tree	pali	了	Executive Summary -> pali/了: Most doctoral programmes operate within disciplinary or thematic silos, limiting cross-boundary learning and system-level improvement. Collective-intelligence frameworks can capture feedback between researchers, institutions, and communities so research systems learn from their own activity. The model is structured by ethical reflexivity (co-authored representation), lightweight infrastructure (portable method), and polyphonic governance (synthesised voices). Related precedents include initiatives such as realtalk@MIT, PlanetMath.org, and Peeragogy.	executive, summary, t4r, exec, tree, most, doctoral, programmes, operate, within
t4r/legacy	pali	了	5 Legacy and sustainability -> pali/了: The programme yields software components, data schemas, and design templates alongside researchers fluent in listening, analysis, and redesign. Each doctoral project produces a self-contained yet interoperable prototype, so sustainability never depends on a single host institution. The Supplement embodies this ethos as a collaboratively authored artefact that is simultaneously document, dataset, and performance. Graduates seed the method elsewhere while the open infrastructure supports new nodes linking universities, civic organisations, and cultural institutions into an evolving ecosystem.	5, legacy, sustainability, t4r, programme, yields, software, components, data, schemas
t4r/rationale	pali	了	1 Rationale for the choice of research subject area -> pali/了: Research policies, tools, and incentives currently pile up without coherent mechanisms for reflection. Institutions generate knowledge faster than they can interpret, while prevailing audits and surveys prioritise compliance over learning. The Supplement’s simulated dialogue, participatory annotation, and iterative synthesis show the research system studying itself in real time. Formalising a social-psychological REPL makes reflexive learning habitual from doctoral study to institutional governance.	1, rationale, choice, research, subject, area, t4r, policies, tools, incentives
t4r/supplement	pali	了	Supplement workshop transcript -> pali/了: Facilitators run five segments mapped to Read, Evaluate, Print, Loop with defined roles—facilitator, recorder, reporter, persona agents—to interrogate the brief. Persona statements from researchers, doctoral scholars, developer-scholars, supervisors, administrators, and the talk4real team surface strengths, blind spots, and initial stances. Participants co-design minimal listening captures, consent protocols, tagging vocabularies, and assessment artefacts that treat stories as analyzable yet textured data. Live debate over anonymisation, governance boards, licensing, and preserving dissent keeps the Print phase accountable to what Read reveals, demonstrating the reflexive loop in action.	supplement, workshop, transcript, t4r, facilitators, run, five, segments, mapped, read
t4r/support	pata	女	6 Additional financial or other support resources -> pata/女: The main assets are conversation, computation, and coordination already present in partner institutions, so core costs focus on stipends, workshops, and hosting. Partners such as the UK Reproducibility Network, PathOS, and the Oxford Schwartzman Centre plus allied studios and labs contribute mentoring and in-kind expertise. Open-source software, shared cloud infrastructure, and cross-university collaboration keep financial overhead minimal while maximising reach. Outputs remain freely available, ensuring continuing value beyond the funding window.	6, additional, financial, other, support, resources, t4r, main, assets, conversation
t4r/training	poka	友	4 Supervision, training, and cohort-building activities -> poka/友: Supervision is collaborative and polyphonic, pairing disciplinary mentors with methodological companions in ethnography, data science, and design. Training follows the shared REPL rhythm demonstrated in the Supplement, grounding every project in a common protocol. Cohort practices such as listening clinics and signal-boost workshops share data, analyse overlaps, and co-design interventions. Portfolio assessment with open datasets, code notebooks, design artefacts, and open peer review makes each scholar a co-investigator refining the collective infrastructure.	4, supervision, training, cohort, building, activities, t4r, collaborative, polyphonic, pairing
t4r/value	jelo	以	3 Added value to the field and the universities -> jelo/以: Ten linked doctoral projects—talk4maths, talk4health, talk4policy, talk4arts, and others—test the same REPL architecture in different domains. Each project contributes stories, datasets, and tools to an evolving commons that lets institutions reflect collectively. The Supplement demonstrates cross-voice dialogue, thematic tagging, consent protocols, and reflective synthesis working as a live prototype. Universities gain a practical method for adaptive governance, and the wider field gains a way to study and iteratively improve epistemic systems.	3, added, value, field, universities, t4r, ten, linked, doctoral, projects
transition/f0-f4-boundary	seme	生	Separate FUTON0 Signals from FUTON4 Footholds -> seme/生: Safe exploration depends on separating situational awareness from action affordance; when those collapse, judgement degrades under fatigue and complexity.	separate, futon0, signals, futon4, footholds, transition, f0, f4, boundary, safe
transition/persistence-conditions	tawa	功	Persistence Requires Infrastructure -> tawa/功: Validated persistence requires the capacity to stop, recover, resume, and change route without loss of viability, which cannot exist without prior infrastructure.	persistence, requires, infrastructure, transition, conditions, validated, capacity, stop, recover, resume
transition/prototype1a-workbench	luka	支	Prototype 1A as Dedicated Workbench -> luka/支: Long-arc productivity depends less on early outputs than on having a stable locus where work can reliably begin, pause, resume, and be re-tooled without re-inventing foundations.	prototype, 1a, dedicated, workbench, transition, prototype1a, long, arc, productivity, depends
vsat-next/ai-assisted-professional-storycrafting	sama	未	AI-Assisted Professional Storycrafting -> sama/未: Purpose-built assistance keeps workflows humane and efficient.	ai, assisted, professional, storycrafting, vsat, next, purpose, built, assistance, keeps
vsat-next/narrative-arc-infographics	lukin	只	Narrative Arc Infographics -> lukin/只: Visual summaries surface strengths and gaps without flattening the work.	narrative, arc, infographics, vsat, next, visual, summaries, surface, strengths, gaps
vsat/360-story-container	poki	氏	360° Storytelling Container -> poki/氏: Spatial anchors keep attention steady and let audiences traverse at their pace.	360, storytelling, container, vsat, story, spatial, anchors, keep, attention, steady
vsat/community-engagement	pali	节	Community Engagement Platform -> pali/节: Lowering the barrier increases representation and involvement.	community, engagement, platform, vsat, lowering, barrier, increases, representation, involvement, supplies
vsat/embedded-annotation	la	大	Embedded Hypertext Annotations -> la/大: Tethered text helps viewers follow meaning and emotional cues.	embedded, hypertext, annotations, vsat, annotation, tethered, text, helps, viewers, follow
vsat/media-narrative-skills	jo	只	Media & Narrative Skill Development -> jo/只: Structured play reduces cognitive load while transmitting narrative principles.	media, narrative, skill, development, vsat, skills, structured, play, reduces, cognitive
vsat/reflective-container	poki	了	Structured Reflective Container -> poki/了: Reflection improves coherence and depth.	structured, reflective, container, vsat, reflection, improves, coherence, depth, s, scene
vsatlas/accountable-poc	pini	卜	Accountable Use of Proof-of-Concept Funds -> pini/卜: Focusing budget on a falsifiable question is more accountable than diffuse build-out.	accountable, use, proof, concept, funds, vsatlas, poc, focusing, budget, falsifiable
vsatlas/askew-layer	jo	只	Askew Layer -> jo/只: Interpretive overlays let relational meaning emerge while protecting authorial integrity.	askew, layer, vsatlas, interpretive, overlays, let, relational, meaning, emerge, while
vsatlas/audience-shift	lape	也	Audience Shift -> lape/也: Shifting the audience from spectators to participants restores agency, dialogue, and collective problem-solving.	audience, shift, vsatlas, shifting, spectators, participants, restores, agency, dialogue, collective
vsatlas/capacity-building-sustainability	pali	以	Capacity Building + Sustainability -> pali/以: Sustainability proves value and aligns with open ecosystem goals.	capacity, building, sustainability, vsatlas, proves, value, aligns, open, ecosystem, goals
vsatlas/community-problem-solving-substrate	ken	井	Community Problem-Solving Substrate -> ken/井: Shared maps enable mutual diagnosis and strategy.	community, problem, solving, substrate, vsatlas, shared, maps, enable, mutual, diagnosis
vsatlas/connected-story-world	alasa	书	Connected Story World -> alasa/书: Connected worlds enable recognition and collaboration.	connected, story, world, vsatlas, worlds, enable, recognition, collaboration, turn, isolated
vsatlas/contributor-pathways	ona	只	Contributor Pathways -> ona/只: Explicit pathways sustain communities and fairness.	contributor, pathways, vsatlas, explicit, sustain, communities, fairness, clarify, how, participants
vsatlas/cooperative-learning-environment	pana	人	Cooperative Learning Environment -> pana/人: Cooperation turns VSATLAS into a social learning space.	cooperative, learning, environment, vsatlas, cooperation, turns, social, space, teach, contributors
vsatlas/current-strength-gap	oko	卜	Current Strength and Gap -> oko/卜: Without framing the gap explicitly, pilots will chase polish rather than the organisational question.	current, strength, gap, vsatlas, without, framing, explicitly, pilots, chase, polish
vsatlas/economic-resonance-layer	jo	义	Economic Resonance Layer -> jo/义: When narrative resonance aligns with economic mutuality, the manifold becomes regenerative rather than extractive.	economic, resonance, layer, vsatlas, when, narrative, aligns, mutuality, manifold, becomes
vsatlas/facilitation-scaffolds	len	几	Facilitation Scaffolds -> len/几: Facilitation quality determines whether linking becomes meaningful.	facilitation, scaffolds, vsatlas, quality, determines, whether, linking, becomes, meaningful, equip
vsatlas/festival-model	anu	门	Festival Model -> anu/门: Festivals generate cultures, not commodities.	festival, model, vsatlas, festivals, generate, cultures, commodities, treat, manifold, evolving
vsatlas/interpretation-offering	lon	几	Interpretation Offering -> lon/几: Interpretation is the bridge between stories and decisions.	interpretation, offering, vsatlas, bridge, between, stories, decisions, package, service, where
vsatlas/interpretive-views	ante	几	Interpretive Views -> ante/几: Multi-view reading keeps the world inclusive and useful.	interpretive, views, vsatlas, multi, view, reading, keeps, world, inclusive, useful
vsatlas/isolarion-drift	akesi	田	Isolarion Drift -> akesi/田: Relational topology converts isolated narratives into a shared world with emergent coherence.	isolarion, drift, vsatlas, relational, topology, converts, isolated, narratives, shared, world
vsatlas/minimal-linking-pilot	lukin	石	Minimal Feature and Pilots -> lukin/石: Concentrating on the linking loop lets partners judge whether collective sense-making improves.	minimal, feature, pilots, vsatlas, linking, pilot, concentrating, loop, lets, partners
vsatlas/offer-ladder	suno	六	Offer Ladder -> suno/六: A visible ladder of offers turns VSATLAS from an idea into a portfolio of bookable engagements that can recover costs and demonstrate real-world demand.	offer, ladder, vsatlas, visible, offers, turns, idea, portfolio, bookable, engagements
vsatlas/open-ecosystem-mandate	seme	门	Open Ecosystem Mandate -> seme/门: Only an open ecosystem can support pluriversality, collective authorship, and long-term resilience.	open, ecosystem, mandate, vsatlas, only, support, pluriversality, collective, authorship, long
vsatlas/open-infrastructure-expert-practice	pali	也	Open Infrastructure + Expert Practice -> pali/也: This pairing speeds adoption and keeps governance healthy.	open, infrastructure, expert, practice, vsatlas, pairing, speeds, adoption, keeps, governance
vsatlas/open-progression-ecosystem	open	门	Open Progression Ecosystem -> open/门: Open ecosystems thrive when progression is explicit.	open, progression, ecosystem, vsatlas, ecosystems, thrive, when, explicit, build, so
vsatlas/peeragogical-infrastructures	luka	门	Peeragogical Infrastructures -> luka/门: Peeragogical competence is required to maintain shared worlds and enable social imagination.	peeragogical, infrastructures, vsatlas, competence, required, maintain, shared, worlds, enable, social
vsatlas/pilot-offers	poka	长	Turn Pilot Results into Offers -> poka/长: Partners decide based on named programmes, not raw features.	turn, pilot, results, offers, vsatlas, partners, decide, based, named, programmes
vsatlas/pluriversal-infrastructure	ale	门	Pluriversal Infrastructure -> ale/门: Pluriversal design ensures “nothing about us without us” and turns distributed knowledge into collective power.	pluriversal, infrastructure, vsatlas, design, ensures, nothing, us, without, turns, distributed
vsatlas/proof-of-concept-scope	kin	专	Precise Concept to Test -> kin/专: Narrow scope keeps effort tied to a partner-relevant question.	precise, concept, test, vsatlas, proof, scope, narrow, keeps, effort, tied
vsatlas/proof-through-pilots	mute	亏	Proof Through Pilots -> mute/亏: Proof through pilots turns the business plan into a sequence of situated experiments whose successes—and failures—offer persuasive material for future commissions and follow-on funding.	proof, through, pilots, vsatlas, turns, business, plan, sequence, situated, experiments
vsatlas/reasons-to-causes	wawa	力	Reasons-to-Causes Gear Train -> wawa/力: Relational topology is the missing gear train that turns narrative into collective action.	reasons, causes, gear, train, vsatlas, relational, topology, missing, turns, narrative
vsatlas/shared-stewardship-compact	pali	公	Shared Stewardship Compact -> pali/公: A clear compact reassures institutions, invites co-ownership, and aligns the business model with the manifold’s deeper claim: that worlds worth living in are co-created and co-stewarded.	shared, stewardship, compact, vsatlas, clear, reassures, institutions, invites, co, ownership
vsatlas/stewardship-layer	ona	义	Stewardship Layer -> ona/义: Stewardship preserves coherence, safety, and long-term navigability.	stewardship, layer, vsatlas, preserves, coherence, safety, long, term, navigability, introduce
vsatlas/story-emporium	tomo	门	Story Emporium -> tomo/门: Proximity, not centralisation, generates aliveness, cross-pollination, and emergent understanding.	story, emporium, vsatlas, proximity, centralisation, generates, aliveness, cross, pollination, emergent
vsatlas/sustainable-trajectory	pata	女	Sustainable Trajectory -> pata/女: A sustainable trajectory proves that every pound invested begins to return social, pedagogical, and financial value—signalling that the infrastructure can grow beyond the grant cycle.	sustainable, trajectory, vsatlas, proves, every, pound, invested, begins, return, social
vsatlas/three-layer-architecture	lon	几	Three-Layer Architecture -> lon/几: Layered governance balances openness with care.	three, layer, architecture, vsatlas, layered, governance, balances, openness, care, specify
vsatlas/upful-learning-trajectory	seme	人	Upful Learning Trajectory -> seme/人: An upful learning trajectory produces a self-renewing ecosystem capable of adaptation and long-term stewardship.	upful, learning, trajectory, vsatlas, produces, self, renewing, ecosystem, capable, adaptation
vsatlas/value-flow-constellation	sike	卜	Value-Flow Constellation -> sike/卜: When groups see how their work interrelates they identify value flows, reduce duplication, and prove sustainability in practical, measurable ways.	value, flow, constellation, vsatlas, when, groups, see, how, work, interrelates
workday/close-then-reframe-focus	pali	专	Close Then Reframe Focus -> pali/专: Focus only compounds value when it reaches closure, producing a reference point that informs the next prioritization rather than fragmenting effort.	close, then, reframe, focus, workday, only, compounds, value, when, reaches
workday/external-project-index	lipu	入	External Project Index as System of Record -> lipu/入: A small, explicit registry decouples navigation from a slow UI surface and makes "where do I go next?" an inspectable, improvable artifact rather than an interaction with a sidebar.	external, project, index, system, record, workday, small, explicit, registry, decouples
workday/sign-off-affordance	tenpo	止	Sign-Off Affordance for Deep Work -> tenpo/止: Long-arc work fails not when people start poorly, but when they lack reliable ways to stop without loss of identity, momentum, or meaning.	sign, off, affordance, deep, work, workday, long, arc, fails, when
workday/single-focus-amidst-agenda	pali	专	Single-Focus Amidst Agenda Saturation -> pali/专: A single declared focus only functions as such if it is protected from dilution by equally attention-hungry tasks.	single, focus, amidst, agenda, saturation, workday, declared, only, functions, such
workflow-coherence/sphere-equilibrium	kin	五	Five Spheres Equilibrium -> kin/五: equilibrium across spheres prevents crisis-driven context switching and keeps all commitments viable	five, spheres, equilibrium, workflow, coherence, sphere, across, prevents, crisis, driven
workflow-coherence/weekly-rhythm	musi	弓	Weekly Rhythm Check -> musi/弓: weekly rhythm prevents unbounded WIP, keeps salients fresh, and makes life feel lighter and more tractable	weekly, rhythm, check, workflow, coherence, prevents, unbounded, wip, keeps, salients
workflow-coherence/wip-cap	musi	弓	WIP Cap Enforcement -> musi/弓: bounded WIP protects depth of focus and prevents the affect collapse that accompanies overload	wip, cap, enforcement, workflow, coherence, bounded, protects, depth, focus, prevents
xed-roads/live-recording-bridge	wile	内	Live Recording Bridge -> wile/内: This reframes gigs as opportunities for artifact production, allowing both aspirations to be met without forcing alignment on performance-first or studio-first priorities.	live, recording, bridge, xed, roads, reframes, gigs, opportunities, artifact, production
